metric,validation,test
num_uids,378,376
num_pairs,738,749
accuracy@1,0.4241573033707865,0.3972972972972973
precision@1,0.4241573033707865,0.3972972972972973
f1@1,0.4241573033707865,0.39729729729729724
accuracy@3,0.6292134831460674,0.581081081081081
precision@3,0.444756554307116,0.3954954954954955
f1@3,0.5211445588393758,0.4706542335693627
accuracy@5,0.702247191011236,0.6486486486486487
precision@5,0.4331460674157303,0.3951351351351352
f1@5,0.5358066148141147,0.49110529483393284
accuracy@10,0.7949438202247191,0.7702702702702703
precision@10,0.43932584269662905,0.39324324324324317
f1@10,0.5659044764822305,0.5206704962802523
mrr,0.5436173533083646,0.5106864006864005
avg_top1_score,0.6561234725660152,0.6563496750754279
